0,-20,-19.5,-19,-18.5,-18,-17.5,-17,-16.5,-16,-15.5,-15,-14.5,-14,-13.5,-13,-12.5,-12,-11.5,-11,-10.5,-10,-9.5,-9,-8.5,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
-15,-1.84161861450855e-272,-2.713647712436718e-264,1.506736908063173e-255,1.160761298731899e-247,-1.627315756838655e-239,-6.18158256551695e-232,2.309702419073146e-224,4.221421547989566e-217,-4.276196895497844e-210,-3.752031163300947e-203,1.019375762215928e-196,4.376758921484396e-190,-3.051355058623783e-184,-6.734233405372656e-178,1.082255462872596e-172,1.370843713229895e-166,-3.73980115383039e-162,-3.698308204931437e-156,-3.78117282539028e-153,1.323316836412347e-146,5.793596113180113e-143,-6.27966884163605e-138,-1.958408887668632e-134,3.948381714379914e-130,6.868619858942702e-127,-3.282980568318229e-123,-2.899368927563745e-120,3.597803131023768e-117,1.546386642210071e-114,-5.168229105735462e-112,-1.065222473852823e-109,9.641907183815344e-108,9.587883165231328e-106,-2.297439037027193e-104,-1.135265096536628e-102,6.756152587101589e-102,1.775568722634059e-100,-2.243192372859974e-100,-3.677092649293363e-99,5.562133474354152e-100,1.009641402784141e-98,5.562133474354152e-100,-3.677092649293363e-99,-2.243192372859974e-100,1.775568722634059e-100,6.756152587101589e-102,-1.135265096536628e-102,-2.297439037027193e-104,9.587883165231328e-106,9.641907183815344e-108,-1.065222473852823e-109,-5.168229105735462e-112,1.546386642210071e-114,3.597803131023768e-117,-2.899368927563745e-120,-3.282980568318229e-123,6.868619858942702e-127,3.948381714379914e-130,-1.958408887668632e-134,-6.27966884163605e-138,5.793596113180113e-143,1.323316836412347e-146,-3.78117282539028e-153,-3.698308204931437e-156,-3.73980115383039e-162,1.370843713229895e-166,1.082255462872596e-172,-6.734233405372656e-178,-3.051355058623783e-184,4.376758921484396e-190,1.019375762215928e-196,-3.752031163300947e-203,-4.276196895497844e-210,4.221421547989566e-217,2.309702419073146e-224,-6.18158256551695e-232,-1.627315756838655e-239,1.160761298731899e-247,1.506736908063173e-255,-2.713647712436718e-264,-1.84161861450855e-272
-14.5,-7.907114333874714e-266,-1.165123036607702e-257,6.469277031229243e-249,4.983807304673299e-241,-6.986990490467466e-233,-2.654104369099934e-225,9.916863872334403e-218,1.812495951575913e-210,-1.836014118258934e-203,-1.610960008698576e-196,4.376758921484396e-190,1.879191105657812e-183,-1.310119974445622e-177,-2.891388752686439e-171,4.646737177815589e-166,5.885810389288839e-160,-1.605708971245641e-155,-1.587893692424668e-149,-1.623472178819152e-146,5.681750522621705e-140,2.487519756278758e-136,-2.69621837651426e-131,-8.408561286944126e-128,1.695264448535867e-123,2.949088487307436e-120,-1.409569956834334e-116,-1.24486369901556e-113,1.544741157786842e-110,6.639515851980368e-108,-2.219014193316823e-105,-4.573604885078139e-103,4.13981819571155e-101,4.116622617194158e-99,-9.864210210390822e-98,-4.874337632587369e-96,2.90079990191518e-95,7.623524646695629e-94,-9.631298481316029e-94,-1.578784649826742e-92,2.388139703601258e-93,4.334963789534824e-92,2.388139703601258e-93,-1.578784649826742e-92,-9.631298481316029e-94,7.623524646695629e-94,2.90079990191518e-95,-4.874337632587369e-96,-9.864210210390822e-98,4.116622617194158e-99,4.13981819571155e-101,-4.573604885078139e-103,-2.219014193316823e-105,6.639515851980368e-108,1.544741157786842e-110,-1.24486369901556e-113,-1.409569956834334e-116,2.949088487307436e-120,1.695264448535867e-123,-8.408561286944126e-128,-2.69621837651426e-131,2.487519756278758e-136,5.681750522621705e-140,-1.623472178819152e-146,-1.587893692424668e-149,-1.605708971245641e-155,5.885810389288839e-160,4.646737177815589e-166,-2.891388752686439e-171,-1.310119974445622e-177,1.879191105657812e-183,4.376758921484396e-190,-1.610960008698576e-196,-1.836014118258934e-203,1.812495951575913e-210,9.916863872334403e-218,-2.654104369099934e-225,-6.986990490467466e-233,4.983807304673299e-241,6.469277031229243e-249,-1.165123036607702e-257,-7.907114333874714e-266
-14,5.512621040960218e-260,8.122915005028999e-252,-4.510200709931969e-243,-3.474572372645874e-235,4.871136190067666e-227,1.850368032156062e-219,-6.913762737534619e-212,-1.263621960859698e-204,1.280018175082403e-197,1.123116685192216e-190,-3.051355058623783e-184,-1.310119974445622e-177,9.133793483130419e-172,2.015796130248234e-165,-3.239576418984938e-160,-4.103423932558252e-154,1.119455807364017e-149,1.107035488555885e-143,1.131839823541091e-140,-3.961159047151752e-134,-1.734229855450549e-130,1.87972875132472e-125,5.862215963670949e-122,-1.181891404928143e-117,-2.056022786610955e-114,9.827131206970424e-111,8.678844810579514e-108,-1.076950736980189e-104,-4.62888649916363e-102,1.547035216104352e-99,3.188590610674187e-97,-2.886166549237993e-95,-2.869995234546815e-93,6.877054063237309e-92,3.398253150208097e-90,-2.022357322747463e-89,-5.314910168126959e-88,6.714674458722984e-88,1.100684916429565e-86,-1.66494483612375e-87,-3.022216650594464e-86,-1.66494483612375e-87,1.100684916429565e-86,6.714674458722984e-88,-5.314910168126959e-88,-2.022357322747463e-89,3.398253150208097e-90,6.877054063237309e-92,-2.869995234546815e-93,-2.886166549237993e-95,3.188590610674187e-97,1.547035216104352e-99,-4.62888649916363e-102,-1.076950736980189e-104,8.678844810579514e-108,9.827131206970424e-111,-2.056022786610955e-114,-1.181891404928143e-117,5.862215963670949e-122,1.87972875132472e-125,-1.734229855450549e-130,-3.961159047151752e-134,1.131839823541091e-140,1.107035488555885e-143,1.119455807364017e-149,-4.103423932558252e-154,-3.239576418984938e-160,2.015796130248234e-165,9.133793483130419e-172,-1.310119974445622e-177,-3.051355058623783e-184,1.123116685192216e-190,1.280018175082403e-197,-1.263621960859698e-204,-6.913762737534619e-212,1.850368032156062e-219,4.871136190067666e-227,-3.474572372645874e-235,-4.510200709931969e-243,8.122915005028999e-252,5.512621040960218e-260
-13.5,1.216616095209115e-253,1.792698801841189e-245,-9.953854501435172e-237,-7.668259147727617e-229,1.075042642466796e-220,4.083697234499832e-213,-1.525843144747804e-205,-2.788769270404679e-198,2.824955139115083e-191,2.478679063643294e-184,-6.734233405372655e-178,-2.891388752686439e-171,2.015796130248234e-165,4.448791234692001e-159,-7.149631334553814e-154,-9.056112445826802e-148,2.47059963490098e-143,2.443188427677911e-137,2.497930723492794e-134,-8.742138842195089e-128,-3.827384359012285e-124,4.148495310119559e-119,1.293770466353622e-115,-2.608392805057446e-111,-4.53757005192557e-108,2.168813329865581e-104,1.915390556673192e-101,-2.376792437974646e-98,-1.021578986825786e-95,3.414252367037411e-93,7.037107446992514e-91,-6.369668169037549e-89,-6.333978645691406e-87,1.517741669305894e-85,7.499825305274573e-84,-4.463271556011054e-83,-1.172982000229699e-81,1.48190506110846e-81,2.429172938121745e-80,-3.674474755679247e-81,-6.669925962626571e-80,-3.674474755679247e-81,2.429172938121745e-80,1.48190506110846e-81,-1.172982000229699e-81,-4.463271556011054e-83,7.499825305274573e-84,1.517741669305894e-85,-6.333978645691406e-87,-6.369668169037549e-89,7.037107446992514e-91,3.414252367037411e-93,-1.021578986825786e-95,-2.376792437974646e-98,1.915390556673192e-101,2.168813329865581e-104,-4.53757005192557e-108,-2.608392805057446e-111,1.293770466353622e-115,4.148495310119559e-119,-3.827384359012285e-124,-8.742138842195089e-128,2.497930723492794e-134,2.443188427677911e-137,2.47059963490098e-143,-9.056112445826802e-148,-7.149631334553814e-154,4.448791234692001e-159,2.015796130248234e-165,-2.891388752686439e-171,-6.734233405372655e-178,2.478679063643294e-184,2.824955139115083e-191,-2.788769270404679e-198,-1.525843144747804e-205,4.083697234499832e-213,1.075042642466796e-220,-7.668259147727617e-229,-9.953854501435172e-237,1.792698801841189e-245,1.216616095209115e-253
-13,-1.955217967658086e-248,-2.881037758551554e-240,1.599679245186641e-231,1.232362297797684e-223,-1.727695941905501e-215,-6.562890495047497e-208,2.452175295220005e-200,4.481817893598343e-193,-4.539972031914043e-186,-3.983473390149653e-179,1.082255462872595e-172,4.646737177815588e-166,-3.239576418984938e-160,-7.149631334553814e-154,1.149013867439269e-148,1.455403544383415e-142,-3.970488978462522e-138,-3.926436557087534e-132,-4.014412641564467e-129,1.404944995165754e-122,6.150971286129566e-119,-6.667027175648935e-114,-2.079212392307851e-110,4.191935729965658e-106,7.292307351488039e-103,-3.48548963617046e-99,-3.07821509697054e-96,3.819731876326301e-93,1.641774753999451e-90,-5.487028817421056e-88,-1.130930206733401e-85,1.023666356311138e-83,1.017930709908109e-81,-2.439155452386313e-80,-1.205293374706602e-78,7.172902590401872e-78,1.885093820162248e-76,-2.381562608987754e-76,-3.903912330165294e-75,5.905230986423241e-76,1.07192064418933e-74,5.905230986423241e-76,-3.903912330165294e-75,-2.381562608987754e-76,1.885093820162248e-76,7.172902590401872e-78,-1.205293374706602e-78,-2.439155452386313e-80,1.017930709908109e-81,1.023666356311138e-83,-1.130930206733401e-85,-5.487028817421056e-88,1.641774753999451e-90,3.819731876326301e-93,-3.07821509697054e-96,-3.48548963617046e-99,7.292307351488039e-103,4.191935729965658e-106,-2.079212392307851e-110,-6.667027175648935e-114,6.150971286129566e-119,1.404944995165754e-122,-4.014412641564467e-129,-3.926436557087534e-132,-3.970488978462522e-138,1.455403544383415e-142,1.149013867439269e-148,-7.149631334553814e-154,-3.239576418984938e-160,4.646737177815588e-166,1.082255462872595e-172,-3.983473390149653e-179,-4.539972031914043e-186,4.481817893598343e-193,2.452175295220005e-200,-6.562890495047497e-208,-1.727695941905501e-215,1.232362297797684e-223,1.599679245186641e-231,-2.881037758551554e-240,-1.955217967658086e-248
-12.5,-2.476585566816165e-242,-3.649279337805736e-234,2.026240856874845e-225,1.560977205763828e-217,-2.188393777239607e-209,-8.312914542258307e-202,3.106058784187196e-194,5.676914641736304e-187,-5.750575840633633e-180,-5.045684351835949e-173,1.370843713229895e-166,5.885810389288839e-160,-4.103423932558252e-154,-9.056112445826801e-148,1.455403544383415e-142,1.843493396406519e-136,-5.029237588810103e-132,-4.973438392625714e-126,-5.084873692753169e-123,1.779579849793288e-116,7.791155237477369e-113,-8.444819733607675e-108,-2.633643658309208e-104,5.30973410513861e-100,9.236833659581477e-97,-4.414911006861519e-93,-3.899034893712678e-90,4.838280432410401e-87,2.079561321026707e-84,-6.950169545652274e-82,-1.432497794824968e-79,1.296631559862381e-77,1.289366477742091e-75,-3.089567142141394e-74,-1.526690233494988e-72,9.0855890859295e-72,2.38776250235676e-70,-3.01661690995648e-70,-4.944907980046636e-69,7.479887189871031e-70,1.357753069010164e-68,7.479887189871031e-70,-4.944907980046636e-69,-3.01661690995648e-70,2.38776250235676e-70,9.0855890859295e-72,-1.526690233494988e-72,-3.089567142141394e-74,1.289366477742091e-75,1.296631559862381e-77,-1.432497794824968e-79,-6.950169545652274e-82,2.079561321026707e-84,4.838280432410401e-87,-3.899034893712678e-90,-4.414911006861519e-93,9.236833659581477e-97,5.30973410513861e-100,-2.633643658309208e-104,-8.444819733607675e-108,7.791155237477369e-113,1.779579849793288e-116,-5.084873692753169e-123,-4.973438392625714e-126,-5.029237588810103e-132,1.843493396406519e-136,1.455403544383415e-142,-9.056112445826801e-148,-4.103423932558252e-154,5.885810389288839e-160,1.370843713229895e-166,-5.045684351835949e-173,-5.750575840633633e-180,5.676914641736304e-187,3.106058784187196e-194,-8.312914542258307e-202,-2.188393777239607e-209,1.560977205763828e-217,2.026240856874845e-225,-3.649279337805736e-234,-2.476585566816165e-242
-12,6.756377456417985e-238,9.955605403054834e-230,-5.527791258293506e-221,-4.258504670429557e-213,5.970160926567576e-205,2.267847683641627e-197,-8.473644451853167e-190,-1.548720085482249e-182,1.56881561015586e-175,1.376514038671853e-168,-3.73980115383039e-162,-1.605708971245641e-155,1.119455807364017e-149,2.47059963490098e-143,-3.970488978462521e-138,-5.029237588810103e-132,1.372027194347644e-127,1.356804605787092e-121,1.387205289685053e-118,-4.85487492947647e-112,-2.125506435605115e-108,2.303832762177115e-103,7.184847913053897e-100,-1.44854949847954e-95,-2.519902221125703e-92,1.204432651087357e-88,1.06369639759848e-85,-1.319932138803117e-82,-5.673254910665718e-80,1.896076980570302e-77,3.907999762659651e-75,-3.53734284723164e-73,-3.517522963875195e-71,8.428653574077515e-70,4.164966320860704e-68,-2.478641162290516e-67,-6.514059097478753e-66,8.229637916884517e-66,1.349021218895299e-64,-2.040589344593626e-65,-3.704088544227371e-64,-2.040589344593626e-65,1.349021218895299e-64,8.229637916884517e-66,-6.514059097478753e-66,-2.478641162290516e-67,4.164966320860704e-68,8.428653574077515e-70,-3.517522963875195e-71,-3.53734284723164e-73,3.907999762659651e-75,1.896076980570302e-77,-5.673254910665718e-80,-1.319932138803117e-82,1.06369639759848e-85,1.204432651087357e-88,-2.519902221125703e-92,-1.44854949847954e-95,7.184847913053897e-100,2.303832762177115e-103,-2.125506435605115e-108,-4.85487492947647e-112,1.387205289685053e-118,1.356804605787092e-121,1.372027194347644e-127,-5.029237588810103e-132,-3.970488978462521e-138,2.47059963490098e-143,1.119455807364017e-149,-1.605708971245641e-155,-3.73980115383039e-162,1.376514038671853e-168,1.56881561015586e-175,-1.548720085482249e-182,-8.473644451853167e-190,2.267847683641627e-197,5.970160926567576e-205,-4.258504670429557e-213,-5.527791258293506e-221,9.955605403054834e-230,6.756377456417985e-238
-11.5,6.681415710322461e-232,9.845148346849054e-224,-5.46646062846322e-215,-4.211256726111686e-207,5.903922222407898e-199,2.242686001461928e-191,-8.379629694980729e-184,-1.531537096140722e-176,1.551409661746703e-169,1.361241668747371e-162,-3.698308204931437e-156,-1.587893692424668e-149,1.107035488555885e-143,2.443188427677911e-137,-3.926436557087534e-132,-4.973438392625714e-126,1.356804605787092e-121,1.341750911256802e-115,1.371814300744824e-112,-4.801010280241509e-106,-2.10192402405721e-102,2.278271826945349e-97,7.105132303843565e-94,-1.432477897919586e-89,-2.491944003618756e-86,1.191069517490639e-82,1.051894727281236e-79,-1.305287542865349e-76,-5.610310367248515e-74,1.875040079936507e-71,3.864640656712782e-69,-3.498096165399926e-67,-3.478496182881377e-65,8.335137989250773e-64,4.118756180907053e-62,-2.451140734632639e-61,-6.441785864186763e-60,8.138330403063246e-60,1.334053880740998e-58,-2.017949084880286e-59,-3.662991825348238e-58,-2.017949084880286e-59,1.334053880740998e-58,8.138330403063246e-60,-6.441785864186763e-60,-2.451140734632639e-61,4.118756180907053e-62,8.335137989250773e-64,-3.478496182881377e-65,-3.498096165399926e-67,3.864640656712782e-69,1.875040079936507e-71,-5.610310367248515e-74,-1.305287542865349e-76,1.051894727281236e-79,1.191069517490639e-82,-2.491944003618756e-86,-1.432477897919586e-89,7.105132303843565e-94,2.278271826945349e-97,-2.10192402405721e-102,-4.801010280241509e-106,1.371814300744824e-112,1.341750911256802e-115,1.356804605787092e-121,-4.973438392625714e-126,-3.926436557087534e-132,2.443188427677911e-137,1.107035488555885e-143,-1.587893692424668e-149,-3.698308204931437e-156,1.361241668747371e-162,1.551409661746703e-169,-1.531537096140722e-176,-8.379629694980729e-184,2.242686001461928e-191,5.903922222407898e-199,-4.211256726111686e-207,-5.46646062846322e-215,9.845148346849054e-224,6.681415710322461e-232
-11,6.831120101164024e-229,1.006573961072339e-220,-5.588942628375179e-212,-4.305614516465306e-204,6.036206025452222e-196,2.292935822196636e-188,-8.567384418433555e-181,-1.565852851658641e-173,1.586170683725726e-166,1.391741769870123e-159,-3.78117282539028e-153,-1.623472178819151e-146,1.131839823541091e-140,2.497930723492794e-134,-4.014412641564467e-129,-5.084873692753169e-123,1.387205289685053e-118,1.371814300744824e-112,1.402551293194413e-109,-4.908582140845428e-103,-2.149019919487064e-99,2.329318986830553e-94,7.264330526123358e-91,-1.46457412428831e-86,-2.547778721176695e-83,1.217756726354235e-79,1.075463573496537e-76,-1.334533930898928e-73,-5.736015477119685e-71,1.91705239366468e-68,3.951232136785021e-66,-3.576474817208307e-64,-3.556435675749398e-62,8.521895827613287e-61,4.211041395870554e-59,-2.506061210539894e-58,-6.586121087519742e-57,8.320678553257774e-57,1.363944809883097e-55,-2.063163430402084e-56,-3.745065143885234e-55,-2.063163430402084e-56,1.363944809883097e-55,8.320678553257774e-57,-6.586121087519742e-57,-2.506061210539894e-58,4.211041395870554e-59,8.521895827613287e-61,-3.556435675749398e-62,-3.576474817208307e-64,3.951232136785021e-66,1.91705239366468e-68,-5.736015477119685e-71,-1.334533930898928e-73,1.075463573496537e-76,1.217756726354235e-79,-2.547778721176695e-83,-1.46457412428831e-86,7.264330526123358e-91,2.329318986830553e-94,-2.149019919487064e-99,-4.908582140845428e-103,1.402551293194413e-109,1.371814300744824e-112,1.387205289685053e-118,-5.084873692753169e-123,-4.014412641564467e-129,2.497930723492794e-134,1.131839823541091e-140,-1.623472178819151e-146,-3.78117282539028e-153,1.391741769870123e-159,1.586170683725726e-166,-1.565852851658641e-173,-8.567384418433555e-181,2.292935822196636e-188,6.036206025452222e-196,-4.305614516465306e-204,-5.588942628375179e-212,1.006573961072339e-220,6.831120101164024e-229
